,group,names,scores,logfoldchanges,pvals,pvals_adj
180,Acinar,RNF212,2.4042866,4.330518,0.016204061597998663,0.04469121428623268
181,Acinar,BCAT1,2.3952096,0.8563234,0.01661086856102599,0.045678654451546515
182,Acinar,SCTR,2.3664048,1.8147043,0.0179617889632774,0.04913077569367054
183,Acinar,SNTG2,2.36597,6.1620283,0.01798290698117947,0.04918127079956975
184,Acinar,PLIN5,2.3607938,1.841571,0.018235862861886408,0.049814186566041585
18507,B,MS4A1,50.54872,10.121775,0.0,0.0
18508,B,CD37,47.62973,3.7808392,0.0,0.0
18509,B,CD79A,47.368797,6.4797444,0.0,0.0
18510,B,CD79B,45.88645,6.1013565,0.0,0.0
18511,B,BANK1,44.409733,7.0841126,0.0,0.0
18512,B,RPS23,43.27341,2.0328188,0.0,0.0
18513,B,RPS27,41.88559,2.19512,0.0,0.0
18514,B,CD74,41.81178,3.9892342,0.0,0.0
18515,B,RPS8,41.44628,1.9705111,0.0,0.0
18516,B,VPREB3,41.31233,8.56707,0.0,0.0
18517,B,HLA-DRA,40.116776,4.4789443,0.0,0.0
18518,B,RPS21,40.111626,2.0043569,0.0,0.0
18519,B,RPL37,39.546368,1.7624505,0.0,0.0
18520,B,RPS29,39.23675,2.130793,0.0,0.0
18521,B,RPS18,39.110977,2.0429194,0.0,0.0
18522,B,HLA-DPB1,38.986908,3.647333,0.0,0.0
18523,B,CD52,38.97044,3.4180813,0.0,0.0
18524,B,RPS10,38.83829,2.1319425,0.0,0.0
18525,B,HLA-DPA1,38.311234,3.5972452,0.0,0.0
18526,B,LTB,38.204132,3.7229795,0.0,0.0
18527,B,RPL39,38.013798,1.6160508,0.0,0.0
18528,B,RPL23A,37.944485,1.9137094,0.0,0.0
18529,B,RPLP2,37.880608,1.7084222,0.0,0.0
18530,B,RPL18A,37.789818,1.7666501,0.0,0.0
18531,B,RPL11,37.576065,1.6760831,5.2884901881254e-309,3.4955031397013137e-306
18532,B,RPS27A,37.45357,1.7154161,5.2542192499830155e-307,3.353097781359851e-304
18533,B,PTPRCAP,37.449818,3.2701278,6.047673611507061e-307,3.7308098509387055e-304
18534,B,RPL34,37.171158,1.6965902,1.9961439093029153e-302,1.1916979138538404e-299
18535,B,MEF2C,37.130615,3.6872516,9.010471061695387e-302,5.211149623087392e-299
18536,B,RPL21,37.02173,1.7457021,5.120994870428133e-300,2.8719470323337414e-297
18537,B,RPS3A,36.912563,1.6786058,2.9056108608309345e-298,1.58159235886465e-295
18538,B,RPL30,36.900826,1.6280502,4.482592245554072e-298,2.3702667053848346e-295
18539,B,HLA-DRB1,36.800816,3.3586423,1.7916666680833887e-296,9.210659729505354e-294
18540,B,RALGPS2,36.705444,4.162898,5.97935323665543e-295,2.990807847318433e-292
18541,B,RPL32,36.63712,1.7036102,7.338345102738237e-294,3.573967179378331e-291
18542,B,RPS28,36.617462,1.5904576,1.5084236106267644e-293,7.158050195351162e-291
18543,B,EEF1B2,36.42608,1.9588852,1.645792168907835e-290,7.614668917494325e-288
18544,B,RPSA,36.15771,1.9583561,2.8147537303661457e-286,1.2705523728752747e-283
18545,B,RPL26,35.9366,1.740754,8.195632643500088e-283,3.611346984125146e-280
18546,B,FAU,35.935524,1.3385371,8.519647561680297e-283,3.666816684279471e-280
18547,B,RPS2,35.7686,1.6226794,3.4000830437587813e-280,1.430121292973722e-277
18548,B,RPL9,35.70976,1.5963362,2.7893774771701526e-279,1.1471779771108447e-276
18549,B,RPS6,35.574337,1.7410481,3.494371405880509e-277,1.4058767741006645e-274
18550,B,RPL3,35.437748,1.8065192,4.479480647566615e-275,1.763866986053518e-272
18551,B,HLA-DQA1,35.413475,3.3000853,1.0591735652752981e-274,4.083776077614571e-272
18552,B,HLA-DQB1,35.406822,3.1552045,1.3408367461680252e-274,5.064258298230947e-272
18553,B,RPL18,35.310017,1.577369,4.122250078709335e-273,1.5258096441334733e-270
18554,B,RPL41,35.155407,1.3892992,9.610781629181398e-271,3.487583051201179e-268
18555,B,RPS12,35.121845,1.8095834,3.128479928357764e-270,1.1134380391176375e-267
18556,B,RPL13,35.10014,1.5747005,6.7075659873056785e-270,2.342206108057853e-267
18557,B,RPL10A,35.06408,1.8389076,2.379181470168762e-269,8.153983605261718e-267
18558,B,RPL27,34.974392,1.6237742,5.515128200998883e-268,1.8557905021070243e-265
18559,B,RPL19,34.93874,1.5606294,1.9199099719494224e-267,6.344959616226421e-265
18560,B,RPL27A,34.451916,1.6425985,4.215179613568102e-260,1.3686022650579799e-257
18561,B,RPL5,34.327126,1.7428958,3.091352684513717e-258,9.864080022809546e-256
18562,B,RPS25,34.280575,1.5774393,1.5284959714601564e-257,4.794555075222562e-255
18563,B,RPS5,34.266804,1.6986753,2.4513510823135998e-257,7.561192413396298e-255
18564,B,RPS7,33.434708,1.5553865,4.2939654900776925e-245,1.3027609725388172e-242
18565,B,RPS15A,33.333214,1.6039196,1.2755367690365103e-243,3.8074772555739834e-241
18566,B,RPL12,33.269608,1.5071471,1.0627684812910037e-242,3.1220089338496197e-240
18567,B,RPS13,33.257046,1.4926753,1.6145238557964506e-242,4.6687489061288925e-240
18568,B,RPL15,33.1197,1.4321876,1.546861468242132e-240,4.404271568116483e-238
18569,B,LINC00926,33.04676,7.1137156,1.731451392104853e-239,4.8551471081340174e-237
18570,B,RPL38,32.80705,1.5759068,4.671709124795472e-236,1.2904376234714895e-233
18571,B,RPL10,32.67516,1.4822115,3.5203569104399666e-234,9.581065491398891e-232
18572,B,RPS11,32.569435,1.431086,1.111304750624067e-232,2.9807126115651605e-230
18573,B,RPL22,32.452152,1.537813,5.05113777231217e-231,1.3354486678883047e-228
18574,B,RPL7A,32.175495,1.5345495,3.886663029603162e-227,1.0131052491389537e-224
18575,B,RPL29,31.703455,1.4353468,1.3923000089874105e-220,3.5297666118260285e-218
18576,B,RPS9,31.69459,1.174385,1.8446429157557476e-220,4.613352221877246e-218
18577,B,CXCR4,31.631031,2.68793,1.3828152862936805e-219,3.412235000458286e-217
18578,B,RPS16,31.165482,1.3886435,3.1294360355936685e-213,7.620588514570004e-211
18579,B,BLK,30.882797,7.047598,2.033271548898654e-209,4.8869813708399204e-207
18580,B,RPS15,30.395239,1.3765799,6.349209052750046e-203,1.4688101492405638e-200
18581,B,RPL35A,30.284206,1.4239441,1.850602931984728e-201,4.228284995338439e-199
18582,B,ARHGAP24,30.182882,4.345578,3.973671572378571e-200,8.968382901220759e-198
18583,B,RPL35,30.118654,1.4091105,2.761341926174049e-199,6.15712711177146e-197
