Mixture,Macrophages,CD8_T,Malignant,Neutrophils,Acinar,Monocytes,Cycling_T,NK,B,CD4_T,Dendritic,Mast,Plasma,Treg,Stellate,Vascular,CAF,Endothelial,Endocrine,Ductal,Schwann,P-value,Correlation,RMSE
TCGA-HV-A7OP-01A-11R-A33R-07,0.0214037527886623,0,0.539640053662962,0.0190962059238272,0,0,0,0.0998238378140797,0.0605828114298134,0,0.0687431133491671,0,0.0149026858298723,0.0593642620495011,0,0,0.0328917298246657,0.0390404658514532,0,0.0035071305390126,0.0410039509369831,0,0.352299980988705,0.93927393890894
TCGA-US-A779-01A-11R-A32O-07,0.0115996884088298,0,0.337958166785397,0,0,0.0169952143947783,0.00863041784181572,0,0.0166855430203125,0.0156197312716065,0,0.00480402702380535,0,0,0,0,0.0753953940508362,0.0549914693018729,0.139443603939238,0.317876743961508,0,0,0.803995953805335,0.679376678028906
TCGA-IB-A7M4-01A-11R-A36G-07,0.011498910520921,0.0413936156272367,0.441839729745113,0.00614492726418511,0.00280396000895799,0,0.0179933770872255,0,0.0814366371121813,0,0.0291642493269444,0.00274534794454613,0,0,0,0,0.184481974093925,0.0387601434397218,0.014625261924771,0.127111865904271,0,0,0.761757320232194,0.708498216530986
TCGA-HZ-7918-01A-11R-2156-07,0.0435736035665188,0.135980597989505,0,0,0.179321947064486,0,0,0,0.0577347851526171,0,0.0382050166538239,0,0.00113858724773161,0.0361005184658785,0,0.0429874359394475,0.158476404470773,0.0509611195484396,0.0587972016938138,0.196722782206966,0,0,0.580269031898578,0.830061616537024
TCGA-HZ-7923-01A-12R-2156-07,0.019139252410829,0.142137952140304,0,0,0,0.00212174903791863,0,0,0.0665595704341433,0,0.0535026877617448,0,0,0.00989941440437185,0,0.0373367470839166,0.290249234253638,0.0605319796465457,0.149628033596266,0.168893379230323,0,0,0.733611615444647,0.711435582732259
TCGA-IB-7654-01A-11R-2156-07,0.0147298878331763,0.0289630276468741,0.0607119310732494,0,0.442429624711966,0.0101881740570747,0,0,0.0406986085697781,0,0,0,0,0.00280588386344899,0.0201311428674452,0,0.215298705170933,0.0539503601055962,0.0497557275046902,0.0603369265957681,0,0,0.766190718283363,0.658511091998497
TCGA-IB-AAUR-01A-21R-A38C-07,0.0119787833828274,0.0823184902021247,0.0164796138009671,0,0,0.0204071904107989,0,0,0.368763043367559,0.0116518612284391,0.0123167517402526,0.0249166016411642,0,0,0,0.0184902015233092,0.290525912195793,0.0731885954037818,0,0.0478062868245505,0.0211566682784329,0,0.801822276873158,0.658092449133959
TCGA-IB-7645-01A-22R-2204-07,0.0551437995501758,0.143662906178023,0.0621688373070644,0,0,0,0,0,0.0479324140818347,0,0.0334551817191871,0,0,0.0109992811193049,0,0.062962868582933,0.355484646484275,0.0796844844816545,0.0570745970992548,0.0914309833962923,0,0,0.755952544706215,0.676862776310657
TCGA-IB-A6UF-01A-23R-A33R-07,0.0418994194437017,0.00779697209971368,0.161579612340741,0.0429169834317689,0.165164837056339,0,0.0109559563415672,0,0.0150632193316595,0,0,0.00825537468801285,0,0,0,0.0313518632605307,0.13986934214744,0.0740410022699201,0.0234811431004536,0.258381596925122,0.0192426775630296,0,0.779884520420276,0.712301636890237
TCGA-IB-AAUP-01A-11R-A37L-07,0.0331124694127874,0.0722865507379123,0.0263914538031413,0,0,0.0268720728152726,0,0,0.332140427762972,0,0,0,0,0.014751985989579,0,0,0.347027418561047,0.0591187805230627,0,0.0882988403942267,0,0,0.774698005927631,0.66547744211338
