"GeneSymbol"	"Steele_PDAC1"	"Steele_PDAC2"	"Steele_PDAC3"	"Steele_PDAC4"	"Steele_PDAC5"	"Steele_PDAC6"	"Steele_PDAC7"	"Steele_PDAC8"	"Steele_PDAC9"	"Steele_PDAC10"	"Steele_PDAC11A"	"Steele_PDAC11B"	"Steele_PDAC12"	"Steele_PDAC13"	"Steele_PDAC15"	"Steele_PDAC16"
"SCAP"	"3.600749e+01"	"1.430168e+01"	"4.927149e+01"	"2.961540e+01"	"2.955292e+01"	"2.796796e+01"	"1.667699e+01"	"2.269525e+01"	"3.831600e+01"	"2.178719e+01"	"4.157740e+01"	"3.987423e+01"	"3.535381e+01"	"2.334611e+01"	"3.454591e+01"	"8.512120e+01"
"ELP6"	"3.454970e+01"	"1.024446e+01"	"3.921919e+01"	"3.431302e+01"	"2.655480e+01"	"2.411256e+01"	"3.317490e+01"	"3.318954e+01"	"1.754658e+01"	"2.692568e+01"	"2.998370e+01"	"2.901646e+01"	"1.710360e+01"	"1.968041e+01"	"2.916058e+01"	"2.969027e+01"
"CSPG5"	"1.020455e+00"	"9.128730e-01"	"9.138453e-01"	"1.021221e-01"	"2.141516e-01"	"6.534570e-02"	"2.014670e-01"	"2.541868e-01"	"0.000000e+00"	"4.110791e-01"	"0.000000e+00"	"1.872030e-01"	"1.911017e-01"	"3.899684e-01"	"1.595654e-01"	"8.171635e-01"
"SMARCC1"	"1.065647e+02"	"5.264234e+01"	"9.465914e+01"	"9.405443e+01"	"6.895681e+01"	"6.116358e+01"	"7.534867e+01"	"6.332883e+01"	"5.926447e+01"	"1.368893e+02"	"9.514828e+01"	"9.959197e+01"	"6.516567e+01"	"5.251575e+01"	"7.479628e+01"	"1.164458e+02"
"DHX30"	"5.933218e+01"	"2.951623e+01"	"6.678686e+01"	"6.035415e+01"	"4.475768e+01"	"4.489250e+01"	"4.582255e+01"	"4.535419e+01"	"2.972176e+01"	"4.049129e+01"	"7.276045e+01"	"5.054480e+01"	"4.509999e+01"	"4.099868e+01"	"5.461126e+01"	"6.782457e+01"
"MAP4"	"1.205595e+02"	"1.010246e+02"	"1.268722e+02"	"1.262229e+02"	"8.630309e+01"	"8.704048e+01"	"1.555997e+02"	"1.101355e+02"	"4.323979e+01"	"1.759418e+02"	"1.307289e+02"	"1.035232e+02"	"6.067478e+01"	"8.870482e+01"	"9.581902e+01"	"1.393264e+02"
"CDC25A"	"2.478248e+00"	"3.042910e-01"	"2.284613e+00"	"8.169766e-01"	"7.495306e-01"	"9.148398e-01"	"1.343113e+00"	"1.379871e+00"	"6.266636e-01"	"1.027698e+00"	"3.198261e+00"	"1.310421e+00"	"2.866525e-01"	"5.199579e-01"	"6.382616e-01"	"1.498133e+00"
"CAMP"	"1.895131e+00"	"1.622885e+00"	"1.218460e+00"	"1.531831e+00"	"4.711335e+00"	"2.025717e+00"	"1.164032e+00"	"1.089372e+00"	"4.959595e+01"	"2.877554e+00"	"7.995654e-01"	"8.985742e+00"	"3.344279e+00"	"3.639705e-01"	"2.672720e+00"	"2.723878e-01"
"ZNF589"	"1.064189e+01"	"4.462935e+00"	"7.234608e+00"	"9.803719e+00"	"6.317472e+00"	"4.770236e+00"	"6.021625e+00"	"7.371418e+00"	"4.028552e+00"	"1.664870e+01"	"1.039435e+01"	"1.740987e+01"	"1.184830e+01"	"4.861606e+00"	"8.895771e+00"	"5.856338e+00"
"NME6"	"2.201268e+01"	"1.389596e+01"	"2.467382e+01"	"1.817773e+01"	"2.494866e+01"	"1.522555e+01"	"1.712470e+01"	"1.928189e+01"	"2.291798e+01"	"2.055395e+01"	"2.158826e+01"	"2.489799e+01"	"1.796356e+01"	"1.923844e+01"	"2.038448e+01"	"1.893095e+01"
"FBXW12"	"0.000000e+00"	"0.000000e+00"	"7.615377e-02"	"4.084883e-01"	"0.000000e+00"	"0.000000e+00"	"2.238522e-02"	"1.452496e-01"	"0.000000e+00"	"0.000000e+00"	"3.997827e-01"	"0.000000e+00"	"9.555083e-02"	"2.599789e-02"	"0.000000e+00"	"0.000000e+00"
"PLXNB1"	"1.924287e+01"	"8.621578e+00"	"3.792458e+01"	"3.063662e+01"	"7.709457e+00"	"2.437395e+01"	"6.133552e+00"	"7.189856e+00"	"1.342851e+00"	"3.083093e+00"	"4.277675e+01"	"1.310421e+01"	"8.599575e-01"	"2.846769e+01"	"2.680699e+01"	"1.295204e+02"
"CCDC51"	"2.142956e+01"	"1.014303e+01"	"2.025690e+01"	"1.235677e+01"	"1.295617e+01"	"1.607504e+01"	"9.871884e+00"	"1.241884e+01"	"7.340917e+00"	"8.838200e+00"	"2.478653e+01"	"1.572505e+01"	"7.644066e+00"	"2.594590e+01"	"1.831013e+01"	"2.097386e+01"
"TMA7"	"1.030514e+03"	"4.905171e+02"	"1.357213e+03"	"8.768201e+02"	"9.572576e+02"	"7.414777e+02"	"9.828457e+02"	"9.003297e+02"	"9.482316e+02"	"9.516481e+02"	"7.699814e+02"	"1.121907e+03"	"8.252725e+02"	"9.039988e+02"	"9.563951e+02"	"1.510118e+03"
